"Environmental Class","Environmental Subclass","Beneficiary Category","Beneficiary Subcategory","FEGS ID Number","Potentially Relevant NAICS Code","FEGS","Example","Importance","FEGS Measurement including Units","Measurement Type","Status","Source","Notes"
"Terrestrial","Scrubland / Shrubland","Commercial / Industrial","Resource-Dependent Businesses","25.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of fire and pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","25.0207","325, 339, 424","flora","juniper, tea tree","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Industrial","Fur / Hide Trappers and Hunters","25.0208","114","fauna","bobcats, coyotes","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Government, Municipal, and Residential","Residential Property Owners","25.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of fire and pest infestation on the property","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Scrubland / Shrubland","Government, Municipal, and Residential","Military / Coast Guard","25.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Government, Municipal, and Residential","Military / Coast Guard","25.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Military Transportation","Transporters of Goods","25.0401","482, 484, 485, 486","presence of the environment","","opportunity for the transportation of goods","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Military Transportation","Transporters of Goods","25.0401","482, 484, 485, 486","land","","medium for and conditions that support the transportation of goods","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Military Transportation","Transporters of People","25.0402","482, 484, 485, 487","presence of the environment","","opportunity for the transportation of people","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Military Transportation","Transporters of People","25.0402","482, 484, 485, 487","land","","medium for and conditions that support the transportation of people","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Subsistence","Food Subsisters","25.0502","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Subsistence","Food Subsisters","25.0502","None","fauna","rabbit","edible organisms (i.e., birds, mammals, reptiles, etc.) that are hunted for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","25.0503","None","fauna","rabbit, bobcat","organisms (i.e., mammals and reptiles) that provide fur or hides used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","25.0503","None","fiber","grasses, cacti","fiber used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","25.0503","None","timber","","timber (i.e., trees) used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Recreational","Experiencers and Viewers","25.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Recreational","Experiencers and Viewers","25.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Recreational","Experiencers and Viewers","25.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Recreational","Experiencers and Viewers","25.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Recreational","Experiencers and Viewers","25.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Recreational","Food Pickers and Gatherers","25.0602","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Recreational","Food Pickers and Gatherers","25.0602","None","fauna","","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Recreational","Hunters","25.0603","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","25.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Inspirational","Artists","25.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Inspirational","Artists","25.0702","339, 423, 424, 512, 711","natural materials","","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Inspirational","Artists","25.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Inspirational","Artists","25.0702","339, 423, 424, 512, 711","sounds and scents","","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Learning","Educators and Students","25.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Learning","Researchers","25.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Non-Use","People Who Care (Existence)","25.0901","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Scrubland / Shrubland","Non-Use","People Who Care (Option / Bequest)","25.0902","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Barren / Rock and Sand","Agricultural","CAFO Operators","26.0102","112","open space","","suitable conditions (i.e., land) to hold livestock and site the CAFO operation","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","26.0202","339, 424, 453, 454","natural materials","shells, driftwood","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Industrial","Electric and other Energy Generators","26.0205","221","presence of the environment","","opportunity to install power generation structures","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Industrial","Resource-Dependent Businesses","26.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of erosion, fire, and pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","26.0207","325, 339, 424","flora","cacti, aloe vera","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","26.0207","325, 339, 424","fauna","snake venom","organisms (i.e., birds, mammals, reptiles, etc.) or products associated with organisms (i.e., oils, fats, keratin, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Industrial","Fur / Hide Trappers and Hunters","26.0208","114","fauna","armadillos, coyotes, snakes","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Government, Municipal, and Residential","Residential Property Owners","26.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of erosion, fire, and pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Government, Municipal, and Residential","Military / Coast Guard","26.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Government, Municipal, and Residential","Military / Coast Guard","26.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Military Transportation","Transporters of Goods","26.0401","482, 484, 485, 486","presence of the environment","","opportunity for the transportation of goods","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Military Transportation","Transporters of Goods","26.0401","482, 484, 485, 486","land","","medium for and conditions that support the transportation of goods","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Military Transportation","Transporters of People","26.0402","482, 484, 485, 487","presence of the environment","","opportunity for the transportation of people","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Commercial / Military Transportation","Transporters of People","26.0402","482, 484, 485, 487","land","","medium for and conditions that support the transportation of people","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Recreational","Experiencers and Viewers","26.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Recreational","Experiencers and Viewers","26.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Recreational","Experiencers and Viewers","26.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Recreational","Experiencers and Viewers","26.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Recreational","Experiencers and Viewers","26.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Recreational","Hunters","26.0603","None","fauna","armadillos, coyotes, snakes","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","26.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Inspirational","Artists","26.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Inspirational","Artists","26.0702","339, 423, 424, 512, 711","natural materials","","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Inspirational","Artists","26.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Inspirational","Artists","26.0702","339, 423, 424, 512, 711","sounds and scents","","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Learning","Educators and Students","26.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Learning","Researchers","26.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Non-Use","People Who Care (Existence)","26.0901","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Terrestrial","Barren / Rock and Sand","Non-Use","People Who Care (Option / Bequest)","26.0902","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Agricultural","Livestock Grazers","27.0103","112","flora","grasses, sedges","non-cultivated vegetation for livestock consumption","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Agricultural","Livestock Grazers","27.0103","112","open space","","suitable conditions (i.e., land) to graze livestock","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Industrial","Food Extractors","27.0201","114, 311, 312, 454","flora","blueberries, bearberries","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Industrial","Food Extractors","27.0201","114, 311, 312, 454","fauna","duck, caribou, reindeer","edible organisms (i.e., birds, mammals, reptiles, etc.) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","27.0202","114, 311, 312, 454","fiber","sphagnum, grasses","non-cultivated fiber for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","27.0202","114, 311, 312, 454","natural materials","lichens","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Industrial","Electric and other Energy Generators","27.0205","221","presence of the environment","","opportunity to install power generation structures","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Industrial","Resource-Dependent Businesses","27.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","27.0207","325, 339, 424","flora","lichens, mosses","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","27.0207","325, 339, 424","fauna","[rein]deer antler velvet","organisms (i.e., birds, mammals, reptiles, etc.) or products associated with organisms (i.e., oils, fats, keratin, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Industrial","Fur / Hide Trappers and Hunters","27.0208","114","fauna","bear, caribou, fox, musk ox, ptarmigan","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Government, Municipal, and Residential","Residential Property Owners","27.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Government, Municipal, and Residential","Military / Coast Guard","27.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Government, Municipal, and Residential","Military / Coast Guard","27.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Military Transportation","Transporters of Goods","27.0401","482, 484, 485, 486","presence of the environment","","opportunity for the transportation of goods","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Military Transportation","Transporters of Goods","27.0401","482, 484, 485, 486","land","","medium for and conditions that support the transportation of goods","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Military Transportation","Transporters of People","27.0402","482, 484, 485, 487","presence of the environment","","opportunity for the transportation of people","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Commercial / Military Transportation","Transporters of People","27.0402","482, 484, 485, 487","land","","medium for and conditions that support the transportation of people","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Subsistence","Food Subsisters","27.0502","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Subsistence","Food Subsisters","27.0502","None","fauna","bear, caribou, fox, musk ox, ptarmigan","edible organisms (i.e., birds, mammals, reptiles, etc.) that are hunted for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","27.0503","None","fauna","bear, caribou, fox, musk ox, ptarmigan","organisms (i.e., mammals and reptiles) that provide fur or hides used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","27.0503","None","fiber","sedges, grasses","fiber used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","27.0503","None","timber","","timber (i.e., trees) used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Recreational","Experiencers and Viewers","27.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Recreational","Experiencers and Viewers","27.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Recreational","Experiencers and Viewers","27.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Recreational","Experiencers and Viewers","27.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Recreational","Experiencers and Viewers","27.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Recreational","Food Pickers and Gatherers","27.0602","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Recreational","Hunters","27.0603","None","fauna","bear, caribou, fox, musk ox, ptarmigan","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","27.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Inspirational","Artists","27.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Inspirational","Artists","27.0702","339, 423, 424, 512, 711","natural materials","","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Inspirational","Artists","27.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Inspirational","Artists","27.0702","339, 423, 424, 512, 711","sounds and scents","","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Learning","Educators and Students","27.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Learning","Researchers","27.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Non-Use","People Who Care (Existence)","27.0901","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Terrestrial","Tundra","Non-Use","People Who Care (Option / Bequest)","27.0902","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Commercial / Industrial","Resource-Dependent Businesses","28.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of avalanches on the property","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Commercial / Industrial","Fur / Hide Trappers and Hunters","28.0208","114","fauna","arctic fox, wolverines, bears","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Government, Municipal, and Residential","Residential Property Owners","28.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of avalanches on the property","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Government, Municipal, and Residential","Military / Coast Guard","28.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Government, Municipal, and Residential","Military / Coast Guard","28.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Commercial / Military Transportation","Transporters of Goods","28.0401","482, 484, 485, 486","presence of the environment","","opportunity for the transportation of goods","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Commercial / Military Transportation","Transporters of Goods","28.0401","482, 484, 485, 486","land","","medium for and conditions that support the transportation of goods","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Commercial / Military Transportation","Transporters of People","28.0402","482, 484, 485, 487","presence of the environment","","opportunity for the transportation of people","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Commercial / Military Transportation","Transporters of People","28.0402","482, 484, 485, 487","land","","medium for and conditions that support the transportation of people","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Subsistence","Food Subsisters","28.0502","None","fauna","caribou, yak, fox, polar bears","edible organisms (i.e., birds, mammals, reptiles, etc.) that are hunted for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","28.0503","None","fauna","caribou, yak, fox, polar bears","organisms (i.e., mammals and reptiles) that provide fur or hides used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Subsistence","Building Material Subsisters","28.0504","None","substrate","snow and ice","renewable, non-cellular material used for infrastructure, housing, and roofing (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Recreational","Experiencers and Viewers","28.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Recreational","Experiencers and Viewers","28.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Recreational","Experiencers and Viewers","28.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Recreational","Experiencers and Viewers","28.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Recreational","Hunters","28.0603","None","fauna","caribou, yak, fox, polar bears","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","28.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Inspirational","Artists","28.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Inspirational","Artists","28.0702","339, 423, 424, 512, 711","natural materials","ice","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Inspirational","Artists","28.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Inspirational","Artists","28.0702","339, 423, 424, 512, 711","sounds and scents","ice cracking","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Learning","Educators and Students","28.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Learning","Researchers","28.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Non-Use","People Who Care (Existence)","28.0901","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Terrestrial","Ice and Snow","Non-Use","People Who Care (Option / Bequest)","28.0902","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
